MESA,TOTALMESAS,ELECTORES,EMITIDOS,PORCENTAJE,COLEGIO,COMUNA,CIRCUNSCRIPCION,APRUEBO,RECHAZO
32M,1,340,163,47.94,LICEO SU SANTIDAD JUAN PABLO SEGUNDO,ALTO HOSPICIO,ALTO HOSPICIO,127,34
33M,1,341,166,48.68,LICEO SU SANTIDAD JUAN PABLO SEGUNDO,ALTO HOSPICIO,ALTO HOSPICIO,132,32
34M,1,344,178,51.74,LICEO SU SANTIDAD JUAN PABLO SEGUNDO,ALTO HOSPICIO,ALTO HOSPICIO,149,28
35M,1,343,167,48.69,LICEO SU SANTIDAD JUAN PABLO SEGUNDO,ALTO HOSPICIO,ALTO HOSPICIO,134,27
36M,1,342,171,50.0,LICEO SU SANTIDAD JUAN PABLO SEGUNDO,ALTO HOSPICIO,ALTO HOSPICIO,126,38
37M,1,331,115,34.74,LICEO SU SANTIDAD JUAN PABLO SEGUNDO,ALTO HOSPICIO,ALTO HOSPICIO,91,23
1V,1,340,125,36.76,LICEO SU SANTIDAD JUAN PABLO SEGUNDO,ALTO HOSPICIO,ALTO HOSPICIO,94,28
2V,1,342,156,45.61,LICEO SU SANTIDAD JUAN PABLO SEGUNDO,ALTO HOSPICIO,ALTO HOSPICIO,125,31
3V,1,333,138,41.44,LICEO SU SANTIDAD JUAN PABLO SEGUNDO,ALTO HOSPICIO,ALTO HOSPICIO,102,34
4V,1,342,164,47.95,LICEO SU SANTIDAD JUAN PABLO SEGUNDO,ALTO HOSPICIO,ALTO HOSPICIO,130,34
5V,1,346,147,42.49,LICEO SU SANTIDAD JUAN PABLO SEGUNDO,ALTO HOSPICIO,ALTO HOSPICIO,123,24
6V,1,341,117,34.31,LICEO SU SANTIDAD JUAN PABLO SEGUNDO,ALTO HOSPICIO,ALTO HOSPICIO,99,17
7V,1,341,153,44.87,LICEO SU SANTIDAD JUAN PABLO SEGUNDO,ALTO HOSPICIO,ALTO HOSPICIO,120,33
8V,1,341,139,40.76,LICEO SU SANTIDAD JUAN PABLO SEGUNDO,ALTO HOSPICIO,ALTO HOSPICIO,104,33
1M-4M,1,418,82,19.62,ESCUELA CAMIÑA,CAMI A,CAMI A,42,35
2M-3M,1,396,96,24.24,ESCUELA CAMIÑA,CAMI A,CAMI A,51,44
5M-6M-7M-3V,1,442,83,18.78,ESCUELA CAMIÑA,CAMI A,CAMI A,55,25
8M-1V,1,394,81,20.56,ESCUELA CAMIÑA,CAMI A,CAMI A,46,32
2V-4V-5V-10,1,436,84,19.27,ESCUELA CAMIÑA,CAMI A,CAMI A,41,43
6V-7V-8V,1,344,61,17.73,ESCUELA CAMIÑA,CAMI A,CAMI A,43,18
9V,1,119,26,21.85,ESCUELA CAMIÑA,CAMI A,CAMI A,15,10
1M-7M,1,436,99,22.71,LICEO TECNICO PROFESIONAL COLCHANE,COLCHANE,COLCHANE,25,72
2M-2V,1,432,78,18.06,LICEO TECNICO PROFESIONAL COLCHANE,COLCHANE,COLCHANE,19,56
4M-1V,1,439,101,23.01,LICEO TECNICO PROFESIONAL COLCHANE,COLCHANE,COLCHANE,24,74
5M-3V,1,438,61,13.93,LICEO TECNICO PROFESIONAL COLCHANE,COLCHANE,COLCHANE,13,45
6M-5V,1,444,66,14.86,LICEO TECNICO PROFESIONAL COLCHANE,COLCHANE,COLCHANE,13,51
6V-7V,1,391,55,14.07,LICEO TECNICO PROFESIONAL COLCHANE,COLCHANE,COLCHANE,14,35
8V-9V,1,415,64,15.42,LICEO TECNICO PROFESIONAL COLCHANE,COLCHANE,COLCHANE,23,41
1M-1V,1,115,31,26.96,ESCUELA CHIAPA,HUARA,CHIAPA,21,9
1V-19,1,434,79,18.2,GIMNASIO MUNICIPAL TECHADO DE HUARA,HUARA,HUARA,63,29
2V,1,305,29,9.51,GIMNASIO MUNICIPAL TECHADO DE HUARA,HUARA,HUARA,77,20
3V,1,289,19,6.57,GIMNASIO MUNICIPAL TECHADO DE HUARA,HUARA,HUARA,28,10
4V,1,293,28,9.56,GIMNASIO MUNICIPAL TECHADO DE HUARA,HUARA,HUARA,13,4
5V,1,285,16,5.61,GIMNASIO MUNICIPAL TECHADO DE HUARA,HUARA,HUARA,16,5
6V,1,255,17,6.67,GIMNASIO MUNICIPAL TECHADO DE HUARA,HUARA,HUARA,17,1
7V,1,252,24,9.52,GIMNASIO MUNICIPAL TECHADO DE HUARA,HUARA,HUARA,54,22
8V,1,259,23,8.88,GIMNASIO MUNICIPAL TECHADO DE HUARA,HUARA,HUARA,60,12
9V,1,240,37,15.42,GIMNASIO MUNICIPAL TECHADO DE HUARA,HUARA,HUARA,64,20
10V,1,273,34,12.45,GIMNASIO MUNICIPAL TECHADO DE HUARA,HUARA,HUARA,53,21
13V-15,1,450,90,20.0,GIMNASIO MUNICIPAL TECHADO DE HUARA,HUARA,HUARA,58,20
1M-9M,1,445,92,20.67,LICEO DE HUARA,HUARA,HUARA,63,29
2M-12V,1,445,98,22.02,LICEO DE HUARA,HUARA,HUARA,77,20
3M,1,301,38,12.62,LICEO DE HUARA,HUARA,HUARA,28,10
4M,1,297,17,5.72,LICEO DE HUARA,HUARA,HUARA,13,4
5M,1,284,21,7.39,LICEO DE HUARA,HUARA,HUARA,16,5
6M,1,298,20,6.71,LICEO DE HUARA,HUARA,HUARA,17,1
7M-18,1,430,76,17.67,LICEO DE HUARA,HUARA,HUARA,54,22
8M-16,1,445,72,16.18,LICEO DE HUARA,HUARA,HUARA,60,12
10M-11V,1,443,84,18.96,LICEO DE HUARA,HUARA,HUARA,64,20
11M-17,1,439,74,16.86,LICEO DE HUARA,HUARA,HUARA,53,21
14,1,322,1,0.31,LICEO DE HUARA,HUARA,HUARA,1,0
1,1,334,121,36.23,ESCUELA PISAGUA,HUARA,PISAGUA,104,16
